Drought Start Date,Drought End Date,Drought Total Days,Drought Total Precipitation,Previous 180 Days Precipitation,Rain Between Droughts Start,Rain Between Droughts End,Rain Total Days,Rain Between Droughts
2015-01-12,2015-07-18,187,1.53,6.66,2014-11-13,2015-01-12,60,6.27
2015-07-20,2015-09-14,56,0.04,1.80,2015-07-19,2015-07-20,1,0.32
2015-09-17,2015-12-19,93,0.33,2.69,2015-09-15,2015-09-17,2,1.78
2016-01-08,2016-02-17,40,0.23,6.09,2015-12-20,2016-01-08,19,3.62
2016-03-13,2016-05-07,55,0.39,8.09,2016-02-18,2016-03-13,24,2.13
2016-05-09,2016-11-20,195,0.37,7.11,2016-05-08,2016-05-09,1,0.55
2016-11-22,2016-12-15,23,0.39,1.14,2016-11-21,2016-11-22,1,0.77
2017-02-19,2017-04-07,47,0.42,15.40,2016-12-16,2017-02-19,65,13.87
2017-04-09,2018-01-09,275,0.32,16.19,2017-04-08,2017-04-09,1,0.38
2018-01-11,2018-03-02,50,0.14,1.16,2018-01-10,2018-01-11,1,0.97
2018-03-24,2018-10-12,202,0.11,3.25,2018-03-03,2018-03-24,21,2.03
2018-10-14,2018-11-21,38,0.05,0.64,2018-10-13,2018-10-14,1,0.53
2018-12-08,2019-01-05,28,0.00,4.12,2018-11-22,2018-12-08,16,3.54
2019-03-08,2019-11-20,257,0.86,16.13,2019-01-06,2019-03-08,61,12.01
2019-12-27,2020-01-16,20,0.00,5.90,2019-11-21,2019-12-27,36,5.84
2020-01-18,2020-03-12,54,0.23,6.23,2020-01-17,2020-01-18,1,0.33
2020-04-11,2020-12-27,260,0.21,12.95,2020-03-13,2020-04-11,29,6.54
2020-12-30,2021-01-28,29,0.34,1.64,2020-12-28,2020-12-30,2,1.62
2021-01-31,2021-03-10,38,0.34,3.55,2021-01-29,2021-01-31,2,1.57
2021-03-12,2021-10-25,227,0.51,4.59,2021-03-11,2021-03-12,1,0.70
2021-10-27,2021-12-14,48,0.10,0.60,2021-10-26,2021-10-27,1,0.39
2022-01-01,2022-03-28,86,0.14,8.84,2021-12-15,2022-01-01,17,8.14
2022-03-30,2022-11-08,223,0.87,9.93,2022-03-29,2022-03-30,1,1.09
2022-11-10,2022-12-11,31,0.50,2.05,2022-11-09,2022-11-10,1,1.41
2023-01-31,2023-02-23,23,0.24,11.36,2022-12-12,2023-01-31,50,8.82
2023-03-31,2023-08-20,142,0.65,23.18,2023-02-24,2023-03-31,35,11.71
2023-08-22,2023-12-20,120,0.34,14.87,2023-08-21,2023-08-22,1,2.51
2024-03-08,2024-03-29,21,0.28,16.65,2023-12-21,2024-03-08,78,16.37
2024-04-16,2025-01-26,285,0.16,19.44,2024-03-30,2024-04-16,17,2.54
